,标题,标题_链接,作者,时间,highwirecitemetadatadoi,abstact,Abstract_num,Full_num,Pdf_num,page
628,Mantis shrimp rank the shape of an object over its color during recognition,https://www.biorxiv.org/content/10.1101/2020.08.20.259903v1,"Rickesh N. Patel, Veniamin Khil, Laylo Abdurahmonova, Holland Driscoll, Sarina Patel, Olivia Pettyjohn-Robin, Ahmad Shah, Tamar Goldwasser, Benjamin Sparklin, Thomas W. Cronin",2020.08.20.259903;,doi: https://doi.org/10.1101/2020.08.20.259903,"SummaryMantis shrimp are predatory crustaceans that commonly occupy burrows in shallow, tropical waters worldwide. Most of these animals inhabit structurally complex, benthic environments with an abundance of visual features that are regularly observed, including conspecifics, predators, prey, and landmarks for use in navigation. While these animals are capable of learning and discriminating color and polarization, it is unknown what specific attributes of a visual object are important for its recognition. Here we show that mantis shrimp of the species Neogonodactylus oerstedii can learn the shape of a trained target. Furthermore, when the shape and color of a target which they had been trained to identify were placed in conflict, N. oerstedii significantly chose the target of the trained shape over the target of the trained color. Thus, we conclude that the shape of a target is more important than its color for its recognition by N. oerstedii. Our findings suggest that the shapes of learned structures, such as landmarks or other animals, are important for N. oerstedii during object recognition.",561,48,139,13.0
629,Genetic controls of mouse Tas1r3-independent sucrose intake,https://www.biorxiv.org/content/10.1101/379347v2,"Cailu Lin, Michael G. Tordoff, Xia Li, Natalia P. Bosak, Masashi Inoue, Yutaka Ishiwatari, Gary K. Beauchamp, Alexander A. Bachmanov, Danielle R. Reed",379347;,doi: https://doi.org/10.1101/379347,"We have previously shown that variation in sucrose intake among inbred mouse strains is due in part to polymorphisms in the Tas1r3 gene, which encodes a sweet taste receptor subunit and accounts for the Sac locus on distal Chr4. To discover other quantitative trait loci (QTLs) influencing sucrose intake, voluntary daily sucrose intake was measured in an F2 intercross with the Sac locus fixed; in backcross, reciprocal consomic strains; and in single- and double-congenic strains. Chromosome mapping identified Scon3, located on Chr9, and epistasis of Scon3 with Scon4 on Chr1. Mice with different combinations of Scon3 and Scon4 genotypes differed more than threefold in sucrose intake. To understand how these two QTLs influenced sucrose intake, we measured resting metabolism, glucose and insulin tolerance, and peripheral taste responsiveness in congenic mice. We found that the combinations of Scon3 and Scon4 genotypes influenced thermogenesis and the oxidation of fat and carbohydrate. Results of glucose and insulin tolerance tests, peripheral taste tests, and gustatory nerve recordings ruled out plasma glucose homoeostasis and peripheral taste sensitivity as major contributors to the differences in voluntary sucrose consumption. Our results provide evidence that these two novel QTLs influence mouse-to-mouse variation in sucrose intake and that both likely act through a common postoral mechanism.",1056,164,276,50.0
630,Wireless AI-Powered IoT Sensors for Laboratory Mice Behavior Recognition,https://www.biorxiv.org/content/10.1101/2020.07.23.217190v2,"Meng Chen, Yifan Liu, John Chung Tam, Ho-yin Chan, Xinyue Li, Chishing Chan, Wen J. Li",2020.07.23.217190;,doi: https://doi.org/10.1101/2020.07.23.217190,"According to the U.S. Department of Agriculture in 2018, there are more than 100 million animals used in research, education, and testing per year. Of the laboratory animals used for research, 95 percent are mice and rats as reported by the Foundation for Biomedical Research (FBR). We present here our work in developing wireless Artificial Intelligent (AI)-powered IoT Sensors (AIIS) for laboratory mice motion recognition utilizing embedded micro-inertial measurement units (uIMUs). Based on the AIIS, we have demonstrated a small-animal motion tracking and recognition system that could recognize 5 common behaviors of mice in cages with accuracy of ~76.23%. The key advantage of this AIIS-based system is to enable high throughput behavioral monitoring of multiple to a large group of laboratory animals, in contrast to traditional video tracking systems that usually track only single or a few animals at a time. The system collects motion data (i.e., three axes linear accelerations and three axes angular velocities) from the IoT sensors attached to different mice, and classifies these data into different behaviors using machine learning algorithms. One of the challenging problems for data analysis is that the distribution of behavior samples is extremely imbalanced. Behaviors such as sleeping and walking dominate the entire sample set from different mice. However, machine learning algorithms often require a balanced sample set to achieve optimal performance. Thus, several methods are proposed to solve the imbalanced sample problem. Data processing methods for data segmentation, feature extraction, feature selection, imbalanced learning, and machine learning are explored to process motion data including sleeping, walking, rearing, digging, shaking, grooming, drinking and scratching. For example, by tuning the parameters of a machine-learning algorithm (i.e., Support Vector Machine (SVM)), the average accuracy of classifying five behaviors (i.e., sleeping, walking, rearing, digging and shaking) is 48.07% before solving the imbalance sample issue. To address this problem, an iteration of sample and feature selection is applied to improve the SVM performance. A combination of oversampling and undersampling is used to handle imbalanced classes, and feature selection provides the optimal number of features. The accuracy increases from 48.07% to 76.23% when the optimized combination is used. We further obtained an average accuracy of 86.46% by removing shaking, which is proved to have a negative effect on the overall performance, out of these five behaviors. Furthermore, we were able to classify less frequent behaviors including rearing, digging, grooming, drinking and scratching at an average accuracy of 96.35%.",1131,270,309,24.0
631,Abnormal energy metabolism can alter foraging behavior in termites in different social contexts,https://www.biorxiv.org/content/10.1101/2020.08.20.258848v1,"Huan Xu, Qiuying Huang, Yongyong Gao, Jia Wu, Ali Hassan, Yutong Liu",2020.08.20.258848;,doi: https://doi.org/10.1101/2020.08.20.258848,"Foraging behavior, as an energy-consuming behavior, is very important for collective survival in termites. How energy metabolism related to glucose decomposition and ATP production influences foraging behavior in termites is still unclear. Here, we analyzed the change in energy metabolism in the whole organism and brain after silencing the key metabolic gene isocitrate dehydrogenase (IDH) and then investigated its impact on foraging behavior in the subterranean termite Odontotermes formosanus in different social contexts. The IDH gene exhibited higher expression in the abdomen and head of O. formosanus. The knockdown of IDH resulted in metabolic disorders in the whole organism, including the impairment of the NAD+-IDH reaction and decreased ATP levels and glucose accumulation. The dsIDH-injected workers showed significantly reduced walking activity but increased foraging success. Interestingly, IDH downregulation altered brain energy metabolism, resulting in a decline in ATP levels and an increase in IDH activity. Additionally, the social context obviously affected brain energy metabolism and, thus, altered foraging behavior in O. formosanus. We found that the presence of predator ants increased the negative influence on the foraging behavior of dsIDH-injected workers, including a decrease in foraging success. However, an increase in the number of nestmate soldiers could provide social buffering to relieve the adverse effect of predator ants on worker foraging behavior. Our orthogonal experiments further verified that the role of the IDH gene as an inherent factor was dominant in manipulating termite foraging behavior compared with external social contexts, suggesting that energy metabolism, especially brain energy metabolism, plays a crucial role in regulating termite foraging behavior.Author summary Foraging behavior plays a key role in collective survival in social insects, as found in termites. Worker termites are responsible for foraging duty and exhibit large foraging areas and long foraging distances, so they need to consume much energy during foraging. It is well established that energy can influence insect behaviors. However, how energy metabolism affects foraging behavior in termites remains unknown. Here, we found that the downregulation of the conserved metabolic gene IDH impaired whole-organism and the brain energy metabolism and further altered foraging behavior, resulting in decreased walking activity but increased foraging success in the termite O. formosanus, which is an important insect pest damaging embankments and trees in China. Additionally, the social context affected brain energy metabolism and obviously changed foraging behavior in O. formosanus, causing a decline in foraging success in the absence of nestmate soldiers and the presence of predator ants. However, the increasing number of nestmate soldiers strengthened social buffering to relieve the negative effect of predator ants on worker foraging behavior. Our findings provide new insights into the underlying molecular mechanism involved in modulating the sophisticated foraging strategy of termites in different social contexts from the perspective of energy metabolism.",673,85,176,43.0
632,No evidence for prolactin’s involvement in the post-ejaculatory refractory period,https://www.biorxiv.org/content/10.1101/2020.08.19.257196v1,"Susana Valente, Tiago Marques, Susana Q. Lima",2020.08.19.257196;,doi: https://doi.org/10.1101/2020.08.19.257196,"In many species, ejaculation is followed by a state of decreased sexual motivation, the post-ejaculatory refractory period. Several lines of evidence have suggested prolactin, a pituitary hormone released around the time of ejaculation in humans and other animals, to be a decisive player in the establishment of the refractory period. However, data supporting this hypothesis is controversial. We took advantage of two different strains of house mouse, a wild derived and a classical laboratory strain, that differ substantially in their sexual behavior, to investigate prolactin’s involvement in sexual motivation and the refractory period. First, we show that there is prolactin release during sexual behavior in male mice. Second, using a pharmacological approach, we show that acute manipulations of prolactin levels, either mimicking the natural release during sexual behavior or inhibiting its occurrence, do not affect sexual motivation or shorten the refractory period, respectively. Therefore, we show compelling evidence refuting the idea that prolactin released during copulation is involved in the establishment of the refractory period, a long-standing hypothesis in the field of behavioral endocrinology.",1239,70,1147,22.0
633,Vector manipulation by a semi-persistent plant virus through disease symptom expression,https://www.biorxiv.org/content/10.1101/2020.08.19.258178v1,"Diego F. Vasquez, Felipe Borrero-Echeverry, Diego F. Rincon",2020.08.19.258178;,doi: https://doi.org/10.1101/2020.08.19.258178,"The greenhouse whitefly (GWF), Trialeurodes vaporariorum (Westwood) (Hemiptera: Aleyrodidae) is rarely associated with potato plants yet is the only known vector of the Potato yellow vein virus (PYVV). A host shift related with vector’s cognition often requires neural alterations by the virus. However, PYVV, being semi-persistent, is not supposed to directly affect vector physiology. As such, we propose that changes in potato plants caused by PYVV infection should manipulate insect behaviour to increase transmission. Here, we studied the effect of PYVV infection and symptom expression on GWF biological parameters, and attraction towards infected and uninfected potato plants. We compared survival and development rates of GWF nymphs fed with PYVV-infected plants (symptomatic and asymptomatic) and healthy plants under controlled conditions. We also carried out free-choice tests to determine host preference of GWF adults as a function of PYVV infection and disease symptom expression. We found that PYVV infection (both symptomatic and asymptomatic) reduce GWF survival while increasing development time (in symptomatic plants). Combined, a prolonged development time and reduced survival should favour viral uptake and trigger migration of vectors from symptomatic plants short after acquiring the virus. We also found that symptom expression (yellowing) causes significantly greater GWF attraction and establishment compared to healthy or asymptomatic plants. Interestingly, we found that GWF adults that have previously fed on infected plants switch their host preference choosing and establishing on healthy potato plants, which clearly increases horizontal transmission rates. The mechanism through which this behavioural manipulation takes place is not yet well understood. Our results show that symptoms associated with PYVV infection may account for a set of behavioural modifications that make an improbable vector, such as the GWF, into an efficient agent that increases horizontal transmission rates of PYVV.HighlightsPYVD reduces the survival of GWF and increases development time when symptoms occurPYVD symptom makes potato, a non-host plant, attractive to GWFAfter feeding on infected plants, GWF preference changes to prefer uninfected plantsPYVV modulates GWF behaviour to enhance horizontal transmission between plants",640,40,130,26.0
634,Correlated decision making across multiple phases of olfactory guided search in Drosophila,https://www.biorxiv.org/content/10.1101/2020.08.18.256289v1,Floris van Breugel,2020.08.18.256289;,doi: https://doi.org/10.1101/2020.08.18.256289,"All motile organisms must search for food, often requiring the exploration of heterogeneous environments across a wide range of spatial scales. Recent field and laboratory experiments with the fruit fly, Drosophila, have revealed that they employ different strategies across these regimes, including kilometer scale straight-path flights between resource clusters, zig-zagging trajectories to follow odor plumes, and local search on foot after landing. However, little is known about the extent to which experiences in one regime might influence decisions in another. To determine how a flies’ odor plume tracking during flight is related to their behavior after landing, I tracked the behavior of individually labelled fruit flies as they explored an array of three odor emitting, but food-barren, objects. The distance flies travelled on the objects in search of food was correlated with the time elapsed between their visits, suggesting that their in-flight plume tracking and on-foot local search behaviors are interconnected through a lossy memory-like process.",1099,85,341,12.0
635,Chronic oxytocin-driven alternative splicing of CRFR2α induces anxiety,https://www.biorxiv.org/content/10.1101/2020.08.19.255844v1,"Julia Winter, Magdalena Meyer, Ilona Berger, Sebastian Peters, Melanie Royer, Marta Bianchi, Simone Stang, Dominik Langgartner, Stefan O. Reber, Kerstin Kuffner, Anna K. Schmidtner, Finn Hartmann, Anna Bludau, Oliver J. Bosch, David A. Slattery, Erwin H. van den Burg, Inga D. Neumann, Benjamin Jurek",2020.08.19.255844;,doi: https://doi.org/10.1101/2020.08.19.255844,"SUMMARYRecently, oxytocin (OXT) has generated considerable interest as potential treatment for psychiatric disorders, including general anxiety disorder or autism spectrum disorder. Therefore, knowledge on the involved molecular processes downstream of OXT receptor (OXTR) activation is indispensable. We reveal that alternative splicing of corticotropin releasing factor receptor 2α (CRFR2α) parallels increased anxiety-like behavior following chronic OXT treatment, contrasting the well-known anxiolysis of acute OXT. In detail, chronic OXT shifts the splicing ratio between membrane-bound (mCRFR2α) and soluble CRFR2α (sCRFR2α) in favor of the latter via ERK1/2-MEF2A signaling. Targeted manipulations of Crfr2α splicing mimic the effect of chronic OXT, confirming its role in the regulation of anxiety-like behavior. Furthermore, chronic OXT triggers cytoplasmic distribution and extracellular release of sCRFR2α into the cerebrospinal fluid, with sCRFR2α levels positively correlating with anxiety-like behavior. Concluding, the dichotomy between anxiolytic mCRFR2α and anxiogenic sCRFR2α is the basis for the deleterious effects of chronic OXT on anxiety.",1178,157,330,42.0
636,Genetics of mouse behavioral and peripheral neural responses to sucrose,https://www.biorxiv.org/content/10.1101/2020.08.19.253989v1,"Cailu Lin, Masashi Inoue, Xia Li, Natalia P. Bosak, Yutaka Ishiwatari, Michael G. Tordoff, Gary K. Beauchamp, Alexander A. Bachmanov, Danielle R. Reed",2020.08.19.253989;,doi: https://doi.org/10.1101/2020.08.19.253989,"Mice of the C57BL/6ByJ (B6) strain have higher consumption of, and stronger peripheral neural responses to, sucrose solution than do mice of the 129P3/J (129) strain. To identify quantitative trait loci (QTLs) responsible for this strain difference and evaluate the contribution of peripheral taste responsiveness to individual differences in sucrose intake, we produced an intercross (F2) of 627 mice, measured their sucrose consumption in two-bottle choice tests, recorded the electrophysiological activity of the chorda tympani nerve elicited by sucrose in a subset of F2 mice, and genotyped the mice with DNA markers distributed in every mouse chromosome. We confirmed a sucrose consumption QTL (Scon2, or Sac) on mouse chromosome (Chr) 4, harboring the Tas1r3 gene, which encodes the sweet taste receptor subunit T1R3 and affects both behavioral and neural responses to sucrose. For sucrose consumption, we also detected five new main-effect QTLs Scon6 (Chr2), Scon7 (Chr5), Scon8 (Chr8), Scon3 (Chr9) and a sex-specific QTL Scon9 (Chr15), and an interacting QTL pair Scon4 (Chr1) and Scon3 (Chr9). No additional QTLs for the taste nerve responses to sucrose were detected besides the previously known one on Chr4 (Scon2). Identification of the causal genes and variants for these sucrose consumption QTLs may point to novel mechanisms beyond peripheral taste sensitivity that could be harnessed to control obesity and diabetes.",712,72,139,37.0
637,Shift work dynamics and division of labor: honeybee foraging and fanning tasks,https://www.biorxiv.org/content/10.1101/2020.08.17.254755v1,"Manuel A. Giannoni-Guzmán, Tugrul Giray, Jose L. Agosto-Rivera",2020.08.17.254755;,doi: https://doi.org/10.1101/2020.08.17.254755,"In complex societies common social needs such as vigilance, care giving, resource gathering, and production are attended around the clock. In humans, these services are constantly provided using a shift work strategy where different individuals, or groups of individuals perform their tasks at different times of the day. However, shift work strategy in job organization in other social organisms remains unclear. Previous studies in honeybees for two jobs support shift work for only pollen foragers and not for nursing behavior. Here we examined shift work dynamics for three types of jobs performed by honeybee foragers. Specifically, we studied pollen foragers, non-pollen foragers and bees fanning at the entrance of the colony, a job important for orientation and temperature control. Major features of the observed shift work were: 1) individuals can be divided into early and late shifts; 2) there are constant workers; 3) based on job, shift work is performed by fewer or greater number of individuals; 4) shift work of an individual is plastic and may change with age; 5) foraging and fanning shifts are coupled yet dissociable. This study adds to the findings that shift work is not exclusive to modern human societies and that a natural form of shift work exists in honeybees. These results suggest that shift work in honeybees is a feature of worker division of labor. Future studies aiming to further understand the structure, function and mechanism of this natural form of shift work in honey bees not only could have an impact on agriculture but also may provide insight into alternative forms of shift work strategies that may reduce the various health problems associated with shift work in humans.",671,82,334,31.0
638,Wing damage affects flight kinematics but not flower tracking performance in hummingbird hawkmoths,https://www.biorxiv.org/content/10.1101/2020.08.16.252759v1,"Klara Kihlström, Brett Aiello, Eric J. Warrant, Simon Sponberg, Anna Stöckl",2020.08.16.252759;,doi: https://doi.org/10.1101/2020.08.16.252759,"The integrity of their wings is crucial to the many insect species that spend distinct portions of their life in flight. How insects cope with the consequences of wing damage is therefore a central question when studying how robust flight performance is possible with such fragile chitinous wings. It has been shown in a variety of insect species that the loss in lift-force production resulting from wing damage is generally compensated by an increase in wing beat frequency rather than amplitude. The consequences of wing damage for flight performance, however, are less well understood, and vary considerably between species and behavioural tasks. One hypothesis reconciling the varying results is that wing damage might affect fast flight manoeuvres with high acceleration, but not slower ones. To test this hypothesis, we investigated the effect of wing damage on the manoeuvrability of hummingbird hawkmoths (Macroglossum stellatarum) tracking a motorised flower. This assay allowed us to sample a range of movements at different temporal frequencies, and thus assess whether wing damage affected faster or slower flight manoeuvres. We show that hummingbird hawkmoths compensate for the loss in lift force mainly by increasing wing beat amplitude, yet with a significant contribution of wing beat frequency. We did not observe any effects of wing damage on flight manoeuvrability at either high or low temporal frequencies.",671,113,214,21.0
639,The Role of Temperature on the Development of Circadian Rhythms in Honey Bee Workers,https://www.biorxiv.org/content/10.1101/2020.08.17.254557v1,"Manuel A. Giannoni-Guzmán, Janpierre Aleman-Rios, Alexander M. Melendez Moreno, Gabriel Diaz Hernandez, Melina Perez, Darimar Loubriel, Tugrul Giray, Jose L. Agosto-Rivera",2020.08.17.254557;,doi: https://doi.org/10.1101/2020.08.17.254557,"Circadian rhythms in honey bees are involved in various processes that impact colony survival. For example, young nurses take care of the brood constantly throughout the day and lack circadian rhythms, while foragers use the circadian clock to remember and predict food availability in subsequent days. Previous studies suggested that development of circadian rhythms both in the field and the laboratory began around 7-9 days of age. However, not much is understood about the postembryonic development of circadian rhythms in honey bees. In the current study, we examine the effects of socially regulated colony temperature on the ontogeny of circadian rhythms of young workers under controlled laboratory conditions. We hypothesized that temperature plays a key role in the development of circadian rhythmicity in young workers. Our results show that young workers kept at 35°C develop circadian rhythmicity faster and in greater proportion than bees kept at 25°C. In addition, we examine if the effect of colony temperature during the first 48 hours after emergence is enough to observe effects on the rate and proportion of development of circadian rhythmicity. We observed that twice as many individuals that were exposed to 35°C during the first 48 hours develop circadian rhythms compared to individuals kept at 25°C. In addition, we observed differences in the average endogenous period length consistent with temperature compensation of the circadian rhythms between the 25°C and 35°C cohorts. We also observed differences in the degree of period length variation between the 25°C and 35°C cohorts, which combined with the proportion of arrhythmic individuals and survival data suggest that development of circadian rhythms is incomplete in individuals exposed to 25°C adult emergence. This study shows that temperature, which is socially regulated inside the hive, is a key factor that influences the ontogeny of circadian rhythmicity of workers.",670,115,182,28.0
640,Associations of early social experience with offspring DNA methylation and later life stress phenotype,https://www.biorxiv.org/content/10.1101/2020.08.17.254805v1,"Zachary M. Laubach, Julia R. Greenberg, Julie W. Turner, Tracy Montgomery, Malit O. Pioon, Laura Smale, Raymond Cavalcante, Karthik R. Padmanabhan, Claudia Lalancette, Bridgett vonHoldt, Christopher D. Faulk, Dana C. Dolinoy, Kay E. Holekamp, Wei Perng",2020.08.17.254805;,doi: https://doi.org/10.1101/2020.08.17.254805,"In a wild population of spotted hyenas, we tested the hypothesis that maternal care during the first year of life and social connectedness during two periods of early development lead to differences in DNA methylation and fecal glucocorticoid metabolites (fGCMs) later in life. We found that although maternal care and social connectedness during the communal den dependent period were not associated with fGCMs, greater social connectedness after hyenas leave their communal den is associated with lower adult fGCMs. Additionally, more maternal care and social connectedness after leaving the communal den corresponded with higher global (%CCGG) DNA methylation. Finally, we identified multiple DNA methylation biomarkers near genes involved in inflammation that may link maternal care and stress phenotype. Our findings suggest that both maternal care during the first year of life and social connections after leaving the den influence DNA methylation and contribute to a developmentally plastic stress response.",782,78,185,45.0
641,Learning can be detrimental for a parasitic wasp,https://www.biorxiv.org/content/10.1101/2020.08.17.253641v1,"Valeria Bertoldi, Gabriele Rondoni, Ezio Peri, Eric Conti, Jacques Brodeur",2020.08.17.253641;,doi: https://doi.org/10.1101/2020.08.17.253641,"Animals have evolved the capacity to learn, and the conventional view is that learning allows individuals to improve foraging decisions. We describe a first case of maladaptive learning where a parasitoid learns to associate chemical cues from an unsuitable host, thereby re-enforcing a reproductive cul-de-sac (evolutionary trap). Telenomus podisi parasitizes eggs of the exotic stink bug Halyomorpha halys at the same rate as eggs of its coevolved host, Podisus maculiventris, but the parasitoid cannot complete its development in the exotic species. We hypothesized that T. podisi learns to exploit cues from this non-coevolved species, thereby increasing unsuccessful parasitism rates. We conducted bioassays to compare the responses of naïve vs. experienced parasitoids on chemical footprints left by one of the two host species. Both naïve and experienced females showed a higher response to footprints of P. maculiventris than of H. halys. Furthermore, parasitoids that gained an experience on H. halys significantly increased their residence time within the arena and the frequency of re-encounter with the area contaminated by chemical cues. Maladaptive learning in the T. podisi - H. halys association is expected to further decrease parasitoid reproductive success and have consequences for population dynamics of sympatric native and exotic host species.",793,106,210,18.0
642,Acoustic niche partitioning in two tropical wet forest bird communities,https://www.biorxiv.org/content/10.1101/2020.08.17.253674v1,"Patrick J. Hart, Kristina Paxton, Thomas Ibanez, Grace Tredinnick, Esther Sebastián-González, Ann Tanimoto-Johnson",2020.08.17.253674;,doi: https://doi.org/10.1101/2020.08.17.253674,"When acoustic signals sent from individuals overlap in frequency and time, acoustic interference and signal masking may occur. Under the acoustic niche hypothesis (ANH), signaling behavior has evolved to minimize overlap with other calling individuals through selection on signal structure and the sender’s ability to adjust the timing of signals. In this study, we examine the fine-scale use of acoustic space and the relevance of the acoustic niche hypothesis in two montane tropical wet forest bird communities (Costa Rica and Hawai’i) that vary in bird species richness. We used a null model approach to test the prediction that there are differences between observed and expected signal overlap in both communities. As predicted under ANH, we found much lower overlap of acoustic signals than expected by chance. In addition, spectral and temporal overlap between different signals was far more common in Hawaii than Costa Rica. These findings constitute strong support that there is competition for acoustic space in signaling communities, and this has resulted in temporal and spectral partitioning of the soundscape.",710,104,298,22.0
643,Kinematic analysis deconstructs the evolved loss of schooling behavior in cavefish,https://www.biorxiv.org/content/10.1101/2020.01.31.929323v2,"Adam Patch, Alexandra Paz, Karla Holt, Erik Duboue, Johanna E. Kowalko, Alex C. Keene, Yaouen Fily",2020.01.31.929323;,doi: https://doi.org/10.1101/2020.01.31.929323,"Fish display a remarkable diversity of social behaviors, from highly social to largely solitary. While social behaviors are likely critical for survival, surprisingly little is known about how they evolve in response to changing environmental pressures. With its highly social surface form and multiple populations of a largely asocial, blind, cave-dwelling form, the Mexican tetra, Astyanax mexicanus, provides a powerful model to study the evolution of social behavior. Given numerous morphological and behavioral differences between the surface and cave forms, a primary impediment to understanding how this behavior evolved is a lack of computational and statistical approaches that can precisely identify independent aspects of social behavior. Here, we use motion tracking and kinematic analysis to quantify social swimming patterns and argue that the absence of schooling in cavefish is not merely a consequence of their inability to see but rather a genuine behavioral adaptation that impacts the way they explore their cave environment. Surface fish school, maintaining both close proximity and alignment with each other. In the dark, surface fish no longer school, but we show that they still attempt to align and maintain proximity when they find themselves near another fish. Conversely, cavefish exhibit little preference for proximity or alignment, instead actively avoiding each other. Cavefish also slow down when more fish are present in the tank, which neither surface fish in the light or in the dark do. Using data-driven computer simulations, we show that those two traits – active avoidance and collective slowdown – are sufficient to shift the exploration strategy of cavefish from mostly-following-the-walls to exploring-the-entire-tank. Finally, we find that those differences in collective swimming patterns are largely consistent across independently-evolved cave populations, revealing an evolutionary convergence on this emergent social behavior.Author Summary The Mexican tetra fish offers a fascinating window into the evolution of schooling behavior. Its ancestral-like surface form is found in the rivers and lakes of Mexico and Texas and is highly social. Over the last million years, A. mexicanus repeatedly evolved a second, largely asocial cave form after colonizing a series of dark, underground caves. Here we use motion tracking technology to compare the collective displacement patterns of four populations and present evidence that the loss of schooling in cave populations (i) is a genuine example of parallel behavioral evolution rather than a mere consequence of not being able to see in the dark and (ii) could constitute a cave-specific exploration strategy.",1394,205,464,31.0
644,Dissociating the effects of distraction and proactive interference on object memory through tests of novelty preference,https://www.biorxiv.org/content/10.1101/2020.08.16.253179v1,"K. Landreth, U. Simanaviciute, J. Fletcher, B. Grayson, R.A. Grant, M.H. Harte, J. Gigg",2020.08.16.253179;,doi: https://doi.org/10.1101/2020.08.16.253179,"Encoding information into memory is sensitive to distraction whilst retrieving that memory may be compromised by proactive interference from pre-existing memories. These two debilitating effects are common in neuropsychiatric conditions but modelling them preclinically to date is slow as it requires prolonged operant training. A step change would be the validation of functionally equivalent but fast, simple, high-throughput tasks based on spontaneous behaviour. Here, we show that spontaneous object preference testing meets these requirements in the subchronic phencyclidine (scPCP) rat model for cognitive impairments associated with schizophrenia. scPCP rats show clear memory sensitivity to distraction in the standard novel object recognition task (stNOR). However, due to this, stNOR cannot assess proactive interference. Therefore, we compared scPCP performance in stNOR to that using the continuous NOR task (conNOR), which offers minimal distraction, allowing disease-relevant memory deficits to be assessed directly. We first determined that scPCP treatment did not affect whisker movements during object exploration. scPCP rats exhibited the expected distraction stNOR effect but had intact performance on the first conNOR trial, effectively dissociating distraction by using two NOR task variants. In remaining conNOR trials, scPCP rats performed above chance throughout but, importantly, their detection of object novelty was increasingly impaired relative to controls. We attribute this effect to the accumulation of proactive interference. This is the first demonstration that increased sensitivity to distraction and proactive interference, both key cognitive impairments in schizophrenia, can be dissociated in the scPCP rat using two variants of the same fast, simple, spontaneous object memory paradigm.",708,183,198,21.0
645,Variation and variability in Drosophila grooming behavior,https://www.biorxiv.org/content/10.1101/2020.08.15.252627v1,"Joshua M. Mueller, Neil Zhang, Jean M. Carlson, Julie H. Simpson",2020.08.15.252627;,doi: https://doi.org/10.1101/2020.08.15.252627,"Behavioral differences can be observed between species or populations (variation) or between individuals in a genetically similar population (variability). Here, we investigate genetic differences as a possible source of variation and variability in Drosophila grooming. Drosophila grooming behavior confers survival and social benefits. Although the leg movements that constitute the grooming sequence are stereotyped, their order is not fixed. Grooming features of five drosophilid species exposed to a dust irritant were analyzed. Components of grooming behavior were conserved between and within species. However, significant differences in grooming syntax were identified, corresponding both to anterior and posterior grooming actions. Genetic heterogeneity was not found to be related to grooming variability, as melanogaster flies bred to increase genetic het-erogeneity did not exhibit increased variability in grooming syntax. Likewise, no relationship between decreased heterogeneity and variability was identified. Finally, individual melanogaster flies were observed on consecutive days to determine the degree of variability of grooming behavior within an individual over time. Individual flies were not found to possess strong, stable grooming traits over several recordings. Additionally, standardization of sensory input using optogenetics did not eliminate grooming variability. In aggregate, these data suggest the importance of sensory inputs and other factors such as life history in grooming variability.Significance Statement Broadly speaking, genes influence behavior, but genes also play a role in determining the natural range of behavioral variability. Here, we show that Drosophila species exhibit differences in grooming behavior both between and within species. In particular, we demonstrate that transitions between grooming actions differ significantly between drosophilid species and common melanogaster stock lines, suggesting that these actions are under partial genetic control. Within melanogaster, however, genotype had no observable effect on the range of grooming behavior. This work establishes similarities in grooming behavior between drosophilids while also highlighting important differences, providing targets for future explorations of genetic, sensory, and developmental contributions to behavior.",1238,207,397,12.0
646,WormPose: Image synthesis and convolutional networks for pose estimation in C. elegans,https://www.biorxiv.org/content/10.1101/2020.07.09.193755v2,"Laetitia Hebert, Tosif Ahamed, Antonio C. Costa, Liam O’Shaugnessy, Greg J. Stephens",2020.07.09.193755;,doi: https://doi.org/10.1101/2020.07.09.193755,"An important model system for understanding genes, neurons and behavior, the nematode worm C. elegans naturally moves through a variety of complex postures, for which estimation from video data is challenging. We introduce an open-source Python package, WormPose, for 2D pose estimation in C. elegans, including self-occluded, coiled shapes. We leverage advances in machine vision afforded from convolutional neural networks and introduce a synthetic yet realistic generative model for images of worm posture, thus avoiding the need for human-labeled training. WormPose is effective and adaptable for imaging conditions across worm tracking efforts. We quantify pose estimation using synthetic data as well as N2 and mutant worms in on-food conditions. We further demonstrate WormPose by analyzing long (∼ 10 hour), fast-sampled (∼ 30 Hz) recordings of on-food N2 worms to provide a posture-scale analysis of roaming/dwelling behaviors.",2236,561,888,16.0
